,Title,Author,My Rating,Number of Pages,Year Published,Original Publication Year,Date Added,recommended,isbn,categories,description,publisher
65,"Hardwiring Happiness: The New Brain Science of Contentment, Calm, and Confidence",Rick Hanson,2,304.0,2013.0,2013.0,2018-12-11,False,9780385347310,['Psychology'],"The author of the critically successful Buddha's Brain outlines a scientifically valid, four-step method for changing the brain's tendency to focus disproportionally on negative events, sharing recommendations for enabling optimism while alleviating stress, anxiety and irritability.",Harmony
66,A Field Guide to Lies: Critical Thinking in the Information Age,Daniel J. Levitin,5,292.0,2016.0,2016.0,2018-12-13,True,9780525955221,['Education'],"We are bombarded with more information each day than our brains can process especially in election season. It's raining bad data, half-truths, and even outright lies. Daniel J. Levitin shows how to recognize misleading announcements, statistics, graphs, and written reports revealing the ways lying weasels can use them.",Dutton
67,Heart: A History,Sandeep Jauhar,2,269.0,2018.0,2018.0,2018-07-02,False,9780374717001,['Medical'],"The bestselling author of Intern and Doctored tells the story of the thing that makes us tick For centuries, the human heart seemed beyond our understanding: an inscrutable shuddering mass that was somehow the driver of emotion and the seat of the soul. As the cardiologist and bestselling author Sandeep Jauhar shows in Heart: A History, it was only recently that we demolished age-old taboos and devised the transformative procedures that have changed the way we live. Deftly alternating between key historical episodes and his own work, Jauhar tells the colorful and little-known story of the doctors who risked their careers and the patients who risked their lives to know and heal our most vital organ. He introduces us to Daniel Hale Williams, the African American doctor who performed the world’s first open heart surgery in Gilded Age Chicago. We meet C. Walton Lillehei, who connected a patient’s circulatory system to a healthy donor’s, paving the way for the heart-lung machine. And we encounter Wilson Greatbatch, who saved millions by inventing the pacemaker—by accident. Jauhar deftly braids these tales of discovery, hubris, and sorrow with moving accounts of his family’s history of heart ailments and the patients he’s treated over many years. He also confronts the limits of medical technology, arguing that future progress will depend more on how we choose to live than on the devices we invent. Affecting, engaging, and beautifully written, Heart: A History takes the full measure of the only organ that can move itself.","Farrar, Straus and Giroux"
68,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,3,135.0,2013.0,2005.0,2018-12-15,False,9780812994872,['Family & Relationships'],"“One of the most remarkable books I’ve ever read. It’s truly moving, eye-opening, incredibly vivid.”—Jon Stewart, The Daily Show NAMED ONE OF THE BEST BOOKS OF THE YEAR BY NPR • The Wall Street Journal • Bloomberg Business • Bookish FINALIST FOR THE BOOKS FOR A BETTER LIFE FIRST BOOK AWARD • NEW YORK TIMES BESTSELLER You’ve never read a book like The Reason I Jump. Written by Naoki Higashida, a very smart, very self-aware, and very charming thirteen-year-old boy with autism, it is a one-of-a-kind memoir that demonstrates how an autistic mind thinks, feels, perceives, and responds in ways few of us can imagine. Parents and family members who never thought they could get inside the head of their autistic loved one at last have a way to break through to the curious, subtle, and complex life within. Using an alphabet grid to painstakingly construct words, sentences, and thoughts that he is unable to speak out loud, Naoki answers even the most delicate questions that people want to know. Questions such as: “Why do people with autism talk so loudly and weirdly?” “Why do you line up your toy cars and blocks?” “Why don’t you make eye contact when you’re talking?” and “What’s the reason you jump?” (Naoki’s answer: “When I’m jumping, it’s as if my feelings are going upward to the sky.”) With disarming honesty and a generous heart, Naoki shares his unique point of view on not only autism but life itself. His insights—into the mystery of words, the wonders of laughter, and the elusiveness of memory—are so startling, so strange, and so powerful that you will never look at the world the same way again. In his introduction, bestselling novelist David Mitchell writes that Naoki’s words allowed him to feel, for the first time, as if his own autistic child was explaining what was happening in his mind. “It is no exaggeration to say that The Reason I Jump allowed me to round a corner in our relationship.” This translation was a labor of love by David and his wife, KA Yoshida, so they’d be able to share that feeling with friends, the wider autism community, and beyond. Naoki’s book, in its beauty, truthfulness, and simplicity, is a gift to be shared. Praise for The Reason I Jump “This is an intimate book, one that brings readers right into an autistic mind.”—Chicago Tribune (Editor’s Choice) “Amazing times a million.”—Whoopi Goldberg, People “The Reason I Jump is a Rosetta stone. . . . This book takes about ninety minutes to read, and it will stretch your vision of what it is to be human.”—Andrew Solomon, The Times (U.K.) “Extraordinary, moving, and jeweled with epiphanies.”—The Boston Globe “Small but profound . . . [Higashida’s] startling, moving insights offer a rare look inside the autistic mind.”—Parade From the Hardcover edition.",Random House
69,Factory Girls: From Village to City in a Changing China ,Leslie T. Chang,3,420.0,2008.0,2008.0,2018-12-17,False,9780385520171,['Social Science'],"Chronicles the everyday world of the millions of female Chinese migrant workers who have left their homes in rural towns to find jobs in China's cities, as revealed through a two-year study of the lives of two young women, and assesses the sociological significance and global influence of this movement. 25,000 first printing.",Spiegel & Grau
70,In Other Words,Jhumpa Lahiri,4,233.0,2016.0,2015.0,2018-12-18,False,9781101875551,['Biography & Autobiography'],"""A series of reflections on the author's experiences learning a new language and living abroad, in a dual-language edition""--",Knopf
71,The Gene: An Intimate History,Siddhartha Mukherjee,2,592.0,2016.0,2016.0,2018-12-22,False,9781476733500,['History'],"""Magnificent, beautifully written, and riveting, Siddhartha Mukherjee's The Gene: An Intimate History illuminates the quest to decipher the master-code of instructions that makes and defines humans; that governs our form, function, and fate; and that determines the future of our children.""--Lead into summary on Book Jacket.",Scribner
72,GuRu,RuPaul,2,208.0,2018.0,2018.0,2018-12-23,False,9780062863003,['Humor'],"FOREWORD BY JANE FONDA A timeless collection of philosophies from renaissance performer and the world’s most famous shape-shifter RuPaul, whose sage outlook has created an unprecedented career for more than thirty-five years. GuRu is packed with more than 80 beautiful photographs that illustrate the concept of building the life you want from the outside in and the inside out. ""You’re born naked and the rest is drag."" As someone who has deconstructed life’s hilarious facade, RuPaul has broken ""the fourth wall"" to expand on the concept of mind, body, and spirit. This unique perspective has allowed RuPaul to break the shackles of self-imposed limitations, but reader beware, this is a daily practice that requires diligence and touchstones to keep you walking in the sunshine of the spirit. Once you’re willing to look beyond the identity that was given to you, a hidden world of possibilities will open its doors. Throughout the history of humans on this planet, there’ve always been shaman, seers, and mediums who are able to interpret both high and low frequencies and remind humans to look beyond the surface for the truth of who we really are. And who we really are is an extension of the power that created the universe (aka: God in drag). FYI: most people are not willing to hear or accept that. That is RuPaul’s secret for success, not only in show business, but in all aspects of life, especially in navigating the emotional landmines that inhibit most sweet, sensitive souls. If you think this book is just about ""doing drag,"" you are sorely mistaken because for RuPaul, drag is merely a device to deactivate the identity-based ego and allow space for the unlimited.",Dey Street Books
73,Drinking Water: A History,James Salzman,3,320.0,2012.0,2012.0,2018-12-23,False,9781590207208,['History'],"Chronicles the availability of drinking water while revealing how political dynamics will influence the supply of drinking water in the future, exploring such topics as tap water safety, whether or not bottled water is considered shameful, and the susceptibility of water to terrorist attacks.",Harry N. Abrams
74,Homo Deus: A History of Tomorrow,Yuval Noah Harari,3,450.0,2017.0,2015.0,2018-12-24,False,9780062464354,['Science'],"Official U.S. edition with full color illustrations throughout. NEW YORK TIMES BESTSELLER Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods. Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style—thorough, yet riveting—famine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges. For the first time ever, more people die from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals put together. The average American is a thousand times more likely to die from binging at McDonalds than from being blown up by Al Qaeda. What then will replace famine, plague, and war at the top of the human agenda? As the self-made gods of planet earth, what destinies will we set ourselves, and which quests will we undertake? Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century—from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus. With the same insight and clarity that made Sapiens an international hit and a New York Times bestseller, Harari maps out our future.",Harper
75,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,2,327.0,2013.0,2012.0,2018-12-26,False,9780316322409,['Biography & Autobiography'],Describes the life of a young Pakistani student who advocated for women's rights and education in the Taliban-controlled Swat Valley who survived an assassination attempt and became the youngest nominee for the Nobel Peace Prize. (This book was listed in a previous Forecast.),"Little, Brown and Company"
76,The Telomere Effect: The New Science of Living Younger,Elizabeth Blackburn,2,416.0,2017.0,2017.0,2018-12-27,False,9781455587971,['Health & Fitness'],"Groundbreaking book by the Nobel Prize Winner who discovered telomeres, telomerase, and their role in the aging process, and the psychologist who researched specific lifestyle habits to protect them and slow down disease and lengthen life. Have you wondered why some 60-year olds look and feel like 40-year-olds and why some 40-year-olds look and feel like 60-year-olds? While many factors contribute to aging and illness, Nobel Prize-winning Doctor Elizabeth Blackburn discovered biological markers, called telomerase, the enzyme that replenishes telomeres, which protect our DNA Dr. Blackburn discovered that the length and health of one's telomeres provides a biological basis for the long hypothesized mind-body connection. But perhaps more importantly, along with leading health Psychologist, Dr. Elissa Epel, discovered that there are things we can do to improve and lengthen our telomeres to keep us vital and disease-free. This book will help people increase the reader's lifespan and health-span (the number of years during this time that they remain healthy and active), including information on how sleep, exercise, and diet profoundly affect our telomeres, and how chronic stress can eat away at our telomeres. Included are lists of which foods are healthy for our telomeres; how aging begins in utero: mothers who are highly stressed during pregnancy have children with shorter telomeres, and how thinking you are young and vital helps keep you that way!",Grand Central Publishing
77,Nelson Mandela's Favorite African Folktales,Nelson Mandela,4,144.0,2002.0,2002.0,2018-12-27,False,9780393052121,['Literary Criticism'],"Presents thirty-two favorite African folktales as selected by the Nobel Laureate, complemented by specially commissioned paintings, in a collection that includes the tales of Simba the Kenyan lion, Zulu tricksters, and the Khoi fable about how animals acquired their tails and horns. 60,000 first printing.",W. W. Norton  Company
78,The Autistic Brain: Thinking Across the Spectrum,Temple Grandin,5,206.0,2013.0,2013.0,2018-12-30,True,9780547636450,['Family & Relationships'],"Offers the latest research and science on autism, including new neuroimaging and genetic research that provide new theories on what causes autism spectrum disorders as well as new ways to treat and diagnose them.",Houghton Mifflin Harcourt
79,The Art of Happiness in a Troubled World,Dalai Lama XIV,2,368.0,2009.0,2008.0,2018-12-31,False,9780767920643,['Religion'],"A sequel to the best-selling The Universe in a Single Atom draws on the Nobel Peace Prize-winning Tibetan leader's insights to reveal how Buddhist traditions may alleviate twenty-first-century problems, sharing stories, meditations, and conversations to identify cultural sources of unhappiness.",Harmony
80,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David   Epstein,2,338.0,2013.0,2013.0,2019-01-01,False,9781591845119,['Health & Fitness'],"A Sports Illustrated senior writer's controversial exploration of the genetic underpinnings of athletic success explores the roles of both biology and training, arguing that nature and training are equally necessary components of athletic achievement while considering such topics as race, gender and genetic testing.",Current
81,Norse Mythology,Neil Gaiman,3,301.0,2018.0,2017.0,2019-01-02,False,9780393609103,['Fiction'],"“Remarkable.… Gaiman has provided an enchanting contemporary interpretation of the Viking ethos.”—Lisa L. Hannett, Atlantic Neil Gaiman, long inspired by ancient mythology in creating the fantastical realms of his fiction, presents a bravura rendition of the Norse gods and their world from their origin though their upheaval in Ragnarok. In Norse Mythology, Gaiman stays true to the myths in envisioning the major Norse pantheon: Odin, the highest of the high, wise, daring, and cunning; Thor, Odin’s son, incredibly strong yet not the wisest of gods; and Loki—son of a giant—blood brother to Odin and a trickster and unsurpassable manipulator. Gaiman fashions these primeval stories into a novelistic arc that begins with the genesis of the legendary nine worlds and delves into the exploits of deities, dwarfs, and giants. Through Gaiman’s deft and witty prose, these gods emerge with their fiercely competitive natures, their susceptibility to being duped and to duping others, and their tendency to let passion ignite their actions, making these long-ago myths breathe pungent life again.",W. W. Norton  Company
82,"Reader, Come Home: The Reading Brain in a Digital World",Maryanne Wolf,3,288.0,2018.0,2018.0,2019-01-05,False,9780062388797,['Science'],"From the author of Proust and the Squid, a lively, ambitious, and deeply informative epistolary book that considers the future of the reading brain and our capacity for critical thinking, empathy, and reflection as we become increasingly dependent on digital technologies. A decade ago, Maryanne Wolf’s Proust and the Squid revealed what we know about how the brain learns to read and how reading changes the way we think and feel. Since then, the ways we process written language have changed dramatically with many concerned about both their own changes and that of children. New research on the reading brain chronicles these changes in the brains of children and adults as they learn to read while immersed in a digitally dominated medium. Drawing deeply on this research, this book comprises a series of letters Wolf writes to us—her beloved readers—to describe her concerns and her hopes about what is happening to the reading brain as it unavoidably changes to adapt to digital mediums. Wolf raises difficult questions, including: Will children learn to incorporate the full range of ""deep reading"" processes that are at the core of the expert reading brain? Will the mix of a seemingly infinite set of distractions for children’s attention and their quick access to immediate, voluminous information alter their ability to think for themselves? With information at their fingertips, will the next generation learn to build their own storehouse of knowledge, which could impede the ability to make analogies and draw inferences from what they know? Will all these influences, in turn, change the formation in children and the use in adults of ""slower"" cognitive processes like critical thinking, personal reflection, imagination, and empathy that comprise deep reading and that influence both how we think and how we live our lives? Will the chain of digital influences ultimately influence the use of the critical analytical and empathic capacities necessary for a democratic society? How can we preserve deep reading processes in future iterations of the reading brain? Who are the ""good readers"" of every epoch? Concerns about attention span, critical reasoning, and over-reliance on technology are never just about children—Wolf herself has found that, though she is a reading expert, her ability to read deeply has been impacted as she has become, inevitably, increasingly dependent on screens. Wolf draws on neuroscience, literature, education, technology, and philosophy and blends historical, literary, and scientific facts with down-to-earth examples and warm anecdotes to illuminate complex ideas that culminate in a proposal for a biliterate reading brain. Provocative and intriguing, Reader, Come Home is a roadmap that provides a cautionary but hopeful perspective on the impact of technology on our brains and our most essential intellectual capacities—and what this could mean for our future.",Harper
83,The Rise and Fall of the Dinosaurs: The Untold Story of a Lost World,Steve Brusatte,2,320.0,2019.0,2018.0,2019-01-05,False,9780062490452,['Science'],"""THE ULTIMATE DINOSAUR BIOGRAPHY,"" hails Scientific American: A thrilling new history of the age of dinosaurs, from one of our finest young scientists. A New York Times Bestseller • Goodreads Choice Awards WINNER A BEST BOOK OF THE YEAR: Smithsonian, NPR Science Friday, The Times (London), Popular Mechanics, Science News, Library Journal, Booklist, and Chicago Public Library ""A masterpiece of science writing."" —Washington Post ""This is scientific storytelling at its most visceral, striding with the beasts through their Triassic dawn, Jurassic dominance, and abrupt demise in the Cretaceous."" —Nature The dinosaurs. Sixty-six million years ago, the Earth’s most fearsome creatures vanished. Today they remain one of our planet’s great mysteries. Now The Rise and Fall of the Dinosaurs reveals their extraordinary, 200-million-year-long story as never before. In this captivating narrative (enlivened with more than seventy original illustrations and photographs), Steve Brusatte, a young American paleontologist who has emerged as one of the foremost stars of the field—naming fifteen new species and leading groundbreaking scientific studies and fieldwork—masterfully tells the complete, surprising, and new history of the dinosaurs, drawing on cutting-edge science to dramatically bring to life their lost world and illuminate their enigmatic origins, spectacular flourishing, astonishing diversity, cataclysmic extinction, and startling living legacy. Captivating and revelatory, The Rise and Fall of the Dinosaurs is a book for the ages. Brusatte traces the evolution of dinosaurs from their inauspicious start as small shadow dwellers—themselves the beneficiaries of a mass extinction caused by volcanic eruptions at the beginning of the Triassic period—into the dominant array of species every wide-eyed child memorizes today, T. rex, Triceratops, Brontosaurus, and more. This gifted scientist and writer re-creates the dinosaurs’ peak during the Jurassic and Cretaceous, when thousands of species thrived, and winged and feathered dinosaurs, the prehistoric ancestors of modern birds, emerged. The story continues to the end of the Cretaceous period, when a giant asteroid or comet struck the planet and nearly every dinosaur species (but not all) died out, in the most extraordinary extinction event in earth’s history, one full of lessons for today as we confront a “sixth extinction.” Brusatte also recalls compelling stories from his globe-trotting expeditions during one of the most exciting eras in dinosaur research—which he calls “a new golden age of discovery”—and offers thrilling accounts of some of the remarkable findings he and his colleagues have made, including primitive human-sized tyrannosaurs; monstrous carnivores even larger than T. rex; and paradigm-shifting feathered raptors from China. An electrifying scientific history that unearths the dinosaurs’ epic saga, The Rise and Fall of the Dinosaurs will be a definitive and treasured account for decades to come. Includes 75 images, world maps of the prehistoric earth, and a dinosaur family tree.",Picador
84,Wonderland: How Play Made the Modern World,Steven Johnson,2,336.0,2017.0,2016.0,2019-01-11,False,9780399184505,['History'],"“A house of wonders itself. . . . Wonderland inspires grins and well-what-d'ya-knows” —The New York Times Book Review From the New York Times–bestselling author of How We Got to Now and Where Good Ideas Come From, a look at the world-changing innovations we made while keeping ourselves entertained. This lushly illustrated history of popular entertainment takes a long-zoom approach, contending that the pursuit of novelty and wonder is a powerful driver of world-shaping technological change. Steven Johnson argues that, throughout history, the cutting edge of innovation lies wherever people are working the hardest to keep themselves and others amused. Johnson’s storytelling is just as delightful as the inventions he describes, full of surprising stops along the journey from simple concepts to complex modern systems. He introduces us to the colorful innovators of leisure: the explorers, proprietors, showmen, and artists who changed the trajectory of history with their luxurious wares, exotic meals, taverns, gambling tables, and magic shows. In Wonderland, Johnson compellingly argues that observers of technological and social trends should be looking for clues in novel amusements. You’ll find the future wherever people are having the most fun.",Riverhead Books
85,Hamilton: The Revolution,Lin-Manuel Miranda,5,285.0,2016.0,2016.0,2019-01-12,True,9781455539741,['Performing Arts'],"Lin-Manuel Miranda's groundbreaking musical Hamilton is as revolutionary as its subject, the poor kid from the Caribbean who fought the British, defended the Constitution, and helped to found the United States. Fusing hip-hop, pop, R&B, and the best traditions of theater, this once-a-generation show broadens the sound of Broadway, reveals the storytelling power of rap, and claims our country's origins for a diverse new generation. HAMILTON: THE REVOLUTION gives readers an unprecedented view of both revolutions, from the only two writers able to provide it. Miranda, along with Jeremy McCarter, a cultural critic and theater artist who was involved in the project from its earliest stages--""since before this was even a show,"" according to Miranda--traces its development from an improbable performance at the White House to its landmark opening night on Broadway six years later. In addition, Miranda has written more than 200 funny, revealing footnotes for his award-winning libretto, the full text of which is published here. Their account features photos by the renowned Frank Ockenfels and veteran Broadway photographer, Joan Marcus; exclusive looks at notebooks and emails; interviews with Questlove, Stephen Sondheim, leading political commentators, and more than 50 people involved with the production; and multiple appearances by President Obama himself. The book does more than tell the surprising story of how a Broadway musical became a national phenomenon: It demonstrates that America has always been renewed by the brash upstarts and brilliant outsiders, the men and women who don't throw away their shot.",Grand Central Publishing
86,When the Body Says No: The Cost of Hidden Stress,Dr. Gabor Maté,2,320.0,2004.0,2003.0,2019-01-12,False,9780676973129,"['Medicine, Psychosomatic']",Whitehots April/04.,Vintage
87,What I Know for Sure,Oprah Winfrey,2,228.0,2014.0,2014.0,2019-01-13,False,9781250054050,"['Body, Mind & Spirit']","Collects inspirational wisdom shared by the Presidential Medal of Freedom-winning cultural icon as penned for her O column throughout years marked by her retirement from her show, her launch of a television network, her honorary degree from Harvard and other high-profile milestones.",Flatiron Books
88,The Universe in a Nutshell,Stephen Hawking,2,216.0,2001.0,2001.0,2019-01-15,False,9780553802023,['Science'],"The author explores recent scientific breakthroughs in the fields of supergravity, supersymmetry, quantum theory, superstring theory, and p-branes as he searches for the Theory of Everything that lies at the heart of the cosmos.",Bantam
89,American Wolf,Nate Blakeslee,3,320.0,2018.0,2017.0,2019-01-15,False,9781101902790,['Nature'],"A NEW YORK TIMES BESTSELLER The enthralling story of the rise and reign of O-Six, the celebrated Yellowstone wolf, and the people who loved or feared her Before men ruled the earth, there were wolves. Once abundant in North America, these majestic creatures were hunted to near extinction in the lower 48 states by the 1920s. But in recent decades, conservationists have brought wolves back to the Rockies, igniting a battle over the very soul of the West. With novelistic detail, Nate Blakeslee tells the gripping story of one of these wolves, O-Six, a charismatic alpha female named for the year of her birth. Uncommonly powerful, with gray fur and faint black ovals around each eye, O-Six is a kind and merciful leader, a fiercely intelligent fighter, and a doting mother. She is beloved by wolf watchers, particularly renowned naturalist Rick McIntyre, and becomes something of a social media star, with followers around the world. But as she raises her pups and protects her pack, O-Six is challenged on all fronts: by hunters, who compete with wolves for the elk they both prize; by cattle ranchers who are losing livestock and have the ear of politicians; and by other Yellowstone wolves who are vying for control of the park’s stunningly beautiful Lamar Valley. These forces collide in American Wolf, a riveting multigenerational saga of hardship and triumph that tells a larger story about the ongoing cultural clash in the West—between those fighting for a vanishing way of life and those committed to restoring one of the country’s most iconic landscapes.",Broadway Books
90,A Naturalist at Large: The Best Essays of Bernd Heinrich,Bernd Heinrich,3,304.0,2018.0,2018.0,2019-01-18,False,9780544986879,['Nature'],"Some of the world’s greatest writings on ravens and other birds, insects, trees, elephants, and more, collected for the first time in book form showing why Bernd Heinrich is so beloved for his “passionate observations [that] superbly mix memoir and science” (New York Times) From one of the finest scientist/writers of our time comes an engaging record of a life spent in close observation of the natural world, one that has yielded “marvelous, mind-altering” (Los Angeles Times) insight and discoveries. In essays that span several decades, Heinrich finds himself at home in Maine, where he plays host to visitors from Europe (the cluster flies) and more welcome guests from Asia (ladybugs); and as far away as Botswana, where he unravels the far-reaching ecological consequences of elephants’ bruising treatment of mopane trees. The many fascinating discoveries in Naturalist at Large include the maple sap harvesting habits of red squirrels, and the “instant” flower-opening in the yellow iris as a way of ensuring potent pollination. Heinrich turns to his great love, the ravens, some of them close companions for years, as he designs a unique experiment to tease out the fascinating parameters of raven intelligence. Finally, he asks “Where does a biologist find hope?” while delivering an answer that informs and inspires.",Houghton Mifflin Harcourt
91,"The Art Instinct: Beauty, Pleasure, and Human Evolution",Denis Dutton,5,278.0,2008.0,2008.0,2018-10-03,True,9781596914018,['Art'],"Challenges popular conceptions in art theory and criticism to argue that human tastes in the arts are evolutionary traits shaped by Darwinian selection as opposed to social construction, in a volume that explains the role of evolution in aesthetic preferences while calling for a practice of art criticism from an evolutionary standpoint. 40,000 first printing.",Bloomsbury Sigma
92,Long Walk to Freedom,Nelson Mandela,5,656.0,1995.0,1994.0,2019-01-24,False,9780759521049,['Biography & Autobiography'],"The book that inspired the major new motion picture Mandela: Long Walk to Freedom. Nelson Mandela is one of the great moral and political leaders of our time: an international hero whose lifelong dedication to the fight against racial oppression in South Africa won him the Nobel Peace Prize and the presidency of his country. Since his triumphant release in 1990 from more than a quarter-century of imprisonment, Mandela has been at the center of the most compelling and inspiring political drama in the world. As president of the African National Congress and head of South Africa's antiapartheid movement, he was instrumental in moving the nation toward multiracial government and majority rule. He is revered everywhere as a vital force in the fight for human rights and racial equality. LONG WALK TO FREEDOM is his moving and exhilarating autobiography, destined to take its place among the finest memoirs of history's greatest figures. Here for the first time, Nelson Rolihlahla Mandela tells the extraordinary story of his life--an epic of struggle, setback, renewed hope, and ultimate triumph.",Back Bay Books
93,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,2,307.0,2011.0,2011.0,2019-01-26,False,9781101475973,['Science'],"The blockbuster phenomenon that charts an amazing journey of the mind while revolutionizing our concept of memory An instant bestseller that is poised to become a classic, Moonwalking with Einstein recounts Joshua Foer's yearlong quest to improve his memory under the tutelage of top ""mental athletes."" He draws on cutting-edge research, a surprising cultural history of remembering, and venerable tricks of the mentalist's trade to transform our understanding of human memory. From the United States Memory Championship to deep within the author's own mind, this is an electrifying work of journalism that reminds us that, in every way that matters, we are the sum of our memories. From the Trade Paperback edition.",Penguin Books
94,Bookends: Collected Intros and Outros,Michael Chabon,2,192.0,2019.0,2019.0,2019-01-29,False,9780062851307,['Literary Collections'],"A brilliant, idiosyncratic collection of introductions and afterwords (plus some liner notes) by New York Times bestselling and Pulitzer Prize winning author Michael Chabon—“one of contemporary literature’s most gifted prose stylists” (Michiko Kakutani, New York Times). In Bookends, Pulitzer Prize winning author Michael Chabon offers a compilation of pieces about literature—age-old classics as well as his own—that presents a unique look into his literary origins and influences, the books that shaped his taste and formed his ideas about writing and reading. Chabon asks why anyone would write an introduction, or for that matter, read one. His own daughter Rose prefers to skip them. Chabon's answer is simple and simultaneously profound: ""a hope of bringing pleasure for the reader."" Likewise, afterwords—they are all about shared pleasure, about the ""pure love"" of a work of art that has inspired, awakened, transformed the reader. Ultimately, this thought-provoking compendium is a series of love letters and thank-you notes, unified by the simple theme of the shared pleasure of discovery, whether it's the boyhood revelation of the most important story in Chabon's life (Ray Bradbury's ""The Rocket Man""); a celebration of ""the greatest literary cartographer of the planet Mars"" (Edgar Rice Burroughs, with his character John Carter); a reintroduction to a forgotten master of ghost stories (M. R. James, ironically ""the happiest of men""); the recognition that the worlds of Wes Anderson's films are reassembled scale models of our own broken reality (as is all art); Chabon's own rude awakening from the muse as he writes his debut novel, The Mysteries of Pittsburgh; or a playful parody of lyrical interpretation in the liner notes for Mark Ronson's Uptown Special, the true purpose of which, Chabon insists, is to ""spread the gospel of sensible automotive safety and maintenance practices."" Galaxies away from academic or didactic, Bookends celebrates wonder—and like the copy of The Phantom Tollbooth handed to young Michael by a friend of his father he never saw again—it is a treasured gift.",Harper
95,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2,242.0,2009.0,2009.0,2019-01-30,False,9781594488849,['Business & Economics'],The author of the best-selling A Whole New Mind challenges popular misconceptions to reveal what actually motivates people and how to harness that knowledge to promote personal and professional fulfillment.,Riverhead Books
96,The Oxford Illustrated History of Witchcraft and Magic,Owen  Davies,2,416.0,2017.0,,2018-05-23,False,9780199608447,['History'],"This richly illustrated history provides a readable and fresh approach to the extensive and complex story of witchcraft and magic. Telling the story from the dawn of writing in the ancient world to the globally successful Harry Potter films, the authors explore a wide range of magical beliefsand practices, the rise of the witch trials, and the depiction of the Devil-worshipping witch. The book also focuses on the more recent history of witchcraft and magic, from the Enlightenment to the present, exploring the rise of modern magic, the anthropology of magic around the globe, and finally the cinematic portrayal of witches and magicians, from The Wizard of Oz to Charmed and Buffythe Vampire Slayer.","Oxford University Press, USA"
97,This is Your Brain on Anxiety; What Happens and What Helps,Faith G. Harper,1,26.0,,,2019-02-03,False,9781621064213,['Anxiety disorders'],"Our brains do their best to help us out, but every so often they can be real assholes - having melt downs, getting addicted to things, or shutting down completely at the worst possible moments. Your brain knows it's not good to do these things, but it can't help it sometimes - especially if it's obsessing about trauma it can't overcome. That's where this life-changing book comes in. With humour, patience, science, and lots of good-ole swearing, Dr. Faith explains what's going on in your skull, and talks you through the process of retraining your brain.",
98,Food of the Gods: The Search for the Original Tree of Knowledge,Terence McKenna,3,311.0,1993.0,1992.0,2019-02-02,False,9780553371307,['Cooking'],"""Terrence McKenna's research on man's ancient relationship with chemicals opens a doorway to the devine, and perhaps a solution for saving our troubled world""--Back cover.",Bantam Books (NY et al.)
99,Metonymy,Jeannette Littlemore,5,240.0,2015.0,2015.0,2018-08-22,False,9781107043626,['History'],"This book explores metonymy in language, gesture, music, art and film and discusses the challenges it presents in cross-cultural communication.",Cambridge University Press
100,Leonardo da Vinci,Walter Isaacson,4,600.0,2017.0,2017.0,2019-02-05,False,9781501139154,['Biography & Autobiography'],"""He was history's most creative genius. What secrets can he teach us? The [bestselling biographer] brings Leonardo da Vinci to life in this exciting new biography. Drawing on thousands of pages from Leonardo's astonishing notebooks and new discoveries about his life and work, Walter Isaacson weaves a narrative that connects his art to his science. He shows how Leonardo's genius was based on skills we can improve in ourselves, such as passionate curiosity, careful observation, and an imagination so playful that it flirted with fantasy. His creativity, like that of other great innovators, came from standing at the intersection of the humanities and technology. He peeled flesh off the faces of cadavers, drew the muscles that move the lips, and then painted history's most memorable smile on the Mona Lisa. He explored the math of optics, showed how light rays strike the cornea, and produced illusions of changing perspectives in The Last Supper. Isaacson also describes how Leonardo's lifelong enthusiasm for staging theatrical productions informed his paintings and inventions. His ability to combine art and science, made iconic by his drawing of what may be himself inside a circle and a square, remains the enduring recipe for innovation. His life should remind us of the importance of instilling, both in ourselves and our children, not just received knowledge but a willingness to question it; to be imaginative and, like talented misfits and rebels in any era, to think different.""--Jacket.",Simon & Schuster
